genes	B cells	T4 cells	T8 cells	DC	Granulocytes	MO	NK cells
AGO1	1640510916.9559634	3208844443.296133	3483662500.5096493	1561024999.581078	1571787084.5897553	2044700000.6390934	3366649999.2998657
AGO2	385835149.13914496	1564263888.9704833	1315426876.1117797	659882500.152464	370819862.1255414	556893333.9973168	1326188749.942454
AGO3	153101221.54478475	414055833.314852	421228124.96276647	176165999.7204913	319824166.85085243	99906333.40734045	441888749.960106
AGO4	20726162.58252066	86348206.67548876	131892500.22576933	109416918.3621592	177632711.29360384	153646063.4610634	99372124.9378176
AGPAT1	84116241.69981058	316058055.64821154	356823125.0862083	354446250.14611214	190219026.90208173	228533916.6496388	269928749.61364263
AGPAT2	11838176.782003151	32788066.662129838	17976456.19892341	75186624.9946209	295375221.4968299	209880749.85704684	42353775.10177417
AGPAT3	143817754.9238558	484248888.7733044	477286875.045568	394925999.7192954	167902494.2183325	1346290001.5896952	199781250.0621518
AGPAT4	6090507.601690738	24025140.99120199	27264242.99204615	39436743.125976935	34502451.311430864	33916705.16111263	106905206.76629233
AGPAT5	1993897165.4935217	659313055.4894078	709713125.0651072	952602500.4155582	383334094.61444664	332619083.52951014	838772125.3685153
AGPS	654314166.190124	1034536388.6121908	1123973750.2268672	2230260001.463971	2883983333.044802	3655591664.6901193	1316203748.506433
AGRN	10771107.452428719	7540627.354898577	5209565.567585721	5008790.240261944	5442741.465810632	8145628.393684265	7023309.424169818
AGT	5194354.980581459	1046316651.2810811	352312073.747341	343962125.09846574	963494750.2436236	306188250.71568024	123364750.02991337
AGTPBP1	62246166.65072804	185698138.91092885	379981749.69832	484460000.07878536	712925500.2461106	570556666.6800512	456638750.46365136
AGTRAP	51208943.54532557	28626367.50265995	115619884.36049415	102649167.85531327	330948916.7120097	635765833.1945237	335102142.59298706
AHCTF1	1755144166.4042637	2814339999.6827664	3183475000.1930842	1966962499.0678077	1199830834.8000104	1924066666.418917	2974262497.4856205
AHCY	14369400011.06413	9947147225.96528	11400274991.66266	18596000004.12424	9153499995.939669	13177199997.928751	7584037508.11701
AHCYL1	1876198334.1892116	2507372222.7926044	2891281252.5515594	3093587501.8093777	2189791664.065757	4270183338.2145324	2644325001.623432
AHCYL2	4777862727.131647	1648920557.467325	168797562.76357546	236836124.88771802	311406333.36021286	162389999.8816299	135739000.1549609
AHDC1	17098928.386161346	37113020.88311262	53440086.61808205	41501979.44013796	120662173.18431449	22250835.641426843	62028124.97454532
AHNAK	674912733.0031949	1117441202.680754	1478342275.909102	1964074988.6608193	530018755.0370591	1764943744.2376785	1255701499.2473774
AHR	10980509.839797242	18374919.4823514	6612229.006160168	88479732.88012674	19607482.905132443	24572779.03840199	39857776.00514173
AHSA1	2802874998.8772326	2497019444.2572136	2745406250.3565693	4612699998.9426365	1302645833.2312615	2624450000.709657	3051225000.1753845
AHSG	12134298329.846838	27420453041.409073	7145537499.245506	17576312532.459187	14558239177.624594	10548871670.726412	3470700002.1855907
AHSP	4972955.787589886	6377826.275922262	4929168.564695197	3073395.424485665	6222878.700136079	4568026.187761691	6204583.065953504
AICDA	5559557.139161047	5191722.6500818515	5149707.209804214	3732567.427480363	24550753.890528668	6658038.666836552	4928663.11336567
AIDA	770535541.9110965	604011666.9487622	577538749.9283533	523075000.12819815	158566081.31099847	201000833.29293874	388461249.5500304
AIF1	5690912.515153154	32588801.19518823	34831515.042646915	4546839750.773418	2162880527.666801	25891766698.810852	45443027.77471079
AIFM1	6359199994.4314995	8611530556.907663	10115906258.287613	6336249995.316461	3124691666.1063857	7080958334.270599	8513212501.253968
AIFM2	6931740.901410094	10538564.192344612	7976030.793020177	10303951.74311163	7111011.086896487	6589643.1798395	10181306.781251831
AIG1	6361617.482833676	11219055.063718602	19159960.24581575	17894936.534715027	101173305.4812163	38059451.65356124	14927499.405710416
AIM2	110145949.86783396	26022871.816568214	31142634.39737784	11477951.741261479	83307177.30156215	20708375.15581163	6664912.641494906
AIMP1	2366608332.8159704	2676275000.41044	3155481251.012616	4245362498.3135204	1878922501.284252	3221333333.231308	2942850002.4534082
AIMP2	90668954.4605785	78264158.375883	95817190.62091936	89554812.78687197	78998667.6562668	95364907.06474532	90915596.08724879
AIP	3844149996.5817513	6400169446.23885	6790412494.53518	6043162496.570802	2723216665.53836	3641025001.997059	4882812502.42072
AK1	8886825.55290963	52876760.10474096	11006189.38516533	22632477.77286964	144776444.6469679	367527082.9618463	4555315.771034282
AK2	11707341663.150375	15061713890.716846	17207000001.655243	19580375034.675106	14202516660.88205	23194499985.819305	15226125021.36815
AK3	1683143334.6982272	3328755554.421693	5302718750.405695	3389962502.183527	2296584165.969531	2907624998.2495475	3243299999.2026997
AK4	12752533.251341669	5162068.967370482	7245912.506913094	69002900.03401685	32746005.63153768	443577499.86453724	60911237.56574315
AK5	42908960.41397972	125818213.94569299	107642574.45982283	54685330.52172774	20148163.682590265	26224157.105118368	34820272.82505551
AK6	58445885.50964991	150973561.23011968	237037727.37020457	150620278.1150481	295374122.4920519	118659551.77686442	133913907.45328777
AKAP1	190838349.96518812	222873194.41352168	174536250.10491493	95354749.83459513	164029718.8438051	60034990.48957945	125642375.08267874
AKAP10	30370597.228200767	102940793.43740948	104713312.55640325	104203125.00327092	154909416.7313457	206493333.29213116	155697624.7724545
AKAP11	385338250.76401657	637559805.3730989	681711874.8942058	176245500.16392428	395829667.2137537	357955833.4424536	241747999.96285757
AKAP12	2162119.1248741588	8734802.434099905	2606948.7443480287	2229430.311595101	34363007076.43408	20927905.027588204	2088710.0013445073
AKAP13	2878754665.8194394	3343077776.2664814	3930718750.2508287	3486574997.4864473	1916494169.0633247	4503949997.121569	3155662499.85127
AKAP17A	323745899.01447064	497982221.9962959	526609374.93988085	517200000.38077533	365534833.36091805	401167499.58176756	560543750.9455117
AKAP5	18085781.20297078	7492474.681158628	10168356.457730839	4431158.54711263	45451468.539564915	5718421.0935004065	66073750.024379
AKAP7	94684085.18633856	97544401.07450639	196841249.8860044	75903904.89542915	31176888.71278435	123145441.34709048	235071445.50496545
AKAP8	1005529999.3561001	852486944.2495266	919318750.6138444	821551250.5017717	311349250.2420853	817960000.6019992	962772501.8008256
AKAP8L	602555833.2042992	434440000.1287062	517051249.5689244	314380000.2144134	211859860.83013892	309735000.17773056	414352499.8042159
AKAP9	950749166.6622105	1552335555.046334	1909824999.0438454	1758112500.6031747	594307583.5334678	898225000.2284046	1342418751.5464656
AKNA	727668665.961958	1115121943.9449294	1975834373.6757894	498698749.94751716	467097499.22408366	346410833.2716294	1459471251.7487347
AKR1A1	8107458331.7265005	7000380557.974187	7827706245.524926	15519375007.579954	9967708337.889315	11418250001.469538	6730249993.549482
AKR1B1	10764808341.976677	10290411112.11744	13259374997.039497	10857112512.819176	10933811694.614298	7416958336.93418	11110612491.57297
AKR1C1	6046197.942286812	4999581.623958425	22789716.50150672	3281713.5543907783	913356110.6412406	5967971.38676243	11735450.28902431
AKR1C3	16970926.272329442	41648443.14871346	74566410.1705857	147284593.35828865	303465365.7328568	20180381.294553023	1880835966.1663473
AKR1D1	12734927.350832894	54071140.875129454	59206037.18992345	188070499.66385186	604396131.7963871	30560045.497198436	1149041926.3977082
AKR7A2	1722727330.2940223	2614216665.866901	3211356247.9633756	4317575003.769769	1436464816.1039674	3553866667.057385	2845312500.0380073
AKT1	522578750.4198069	1208228889.0866137	1483213750.6020992	1509537497.9523108	1868198333.5567515	1310237499.9616265	2039699998.43747
AKT1S1	19533532.25525162	46152603.1389014	45312266.92518586	47362124.985617	261147152.5753851	32597015.47688535	23679151.086541943
AKT2	468271098.6718978	463132500.05825365	523876874.84772027	444127500.19245595	549305833.9094797	456840833.3017208	700978750.5430913
AKT3	39800411.94523419	102175610.85470097	101019750.05201353	34630744.96641775	81892269.86589716	39368986.3796797	138465374.9418441
AKTIP	380991706.3975664	311539127.31787556	63144481.59914172	529342805.52320004	11785946.638867674	85256775.70610921	971269125.2447035
ALAD	56090820.25722787	87361906.76954165	98544604.54399489	96395482.38905382	88796751.28733672	111115498.75394534	67003032.04467335
ALAS1	247464252.75967088	37407426.442993626	66106479.63821982	10569835.32265507	33671114.162691005	18971519.929691587	31153863.627520084
ALCAM	382542582.5506709	345861471.075209	300585727.98311913	1361596250.265166	77771884.84609789	190130500.14162132	380556250.4586749
ALDH16A1	3200948328.38884	3023497220.189253	2880631252.4900723	7026812501.108431	5165083332.641189	5879799995.018853	3684537498.8239923
ALDH18A1	2478633333.1053886	2733578609.535085	3168249999.7277484	1240187500.0178592	325843916.71773	978243333.243898	2082224999.0617502
ALDH1A1	37200764.97658978	6005611.218317644	24309313.393054456	30645963.428126033	1094188524.0793352	5549574991.943707	15867499.464248078
ALDH1A2	5843224.940221101	15314272.35231875	57817437.776655056	19795327.86161188	4434844.507804999	26652367.228763502	55231933.348888546
ALDH1B1	832045076.8066177	1398195277.6548913	1816996251.7885065	849343750.6063731	199506666.66455078	1705453334.3637326	3229300004.356551
ALDH2	635715583.5156833	337487805.2022721	59224187.44894734	31699624995.401093	3772138332.38104	43944166681.32886	919619123.9725616
ALDH3A2	569230166.7787457	1633878332.7519295	1685568124.6445186	900871501.7429593	1614552500.6489818	4090225000.831763	2197976247.3279495
ALDH3B1	4231809.253389166	4054648.594364176	3502064.1341894893	73619862.0315484	6994551747.209968	3356808335.5783505	66389340.28819531
ALDH4A1	304614333.52926767	63152722.22679494	101351500.12970668	1079958749.7777228	1691330835.970637	3225708333.804899	207548749.84782237
ALDH5A1	2706426211.7311764	1594129166.4458575	2792363127.099579	1786117121.959221	258679966.07399347	121550000.03983797	966112500.9263113
ALDH6A1	2121700960.114107	3763566664.166445	4986487496.001501	4035449998.7222705	5223066665.179444	3461891672.7882495	3619350007.175641
ALDH7A1	40236258.34699688	37451903.04542723	57431682.34159458	3104587498.9383645	55737678.2155944	299705083.2476384	45132201.00109462
ALDH8A1	58782740.53822418	7029075.618430984	4606478.328405965	25761759.67994596	5587468.258983195	80648558.74387017	37662752.14412305
ALDH9A1	14477858324.471067	16072249987.324942	19725187487.43519	7009487504.173659	4648366666.083159	8035408328.511001	12388300002.073994
ALDOA	108299451.98941433	102252817.93400535	95843410.61140001	96871654.61490259	136773035.84957805	120463851.55378586	84579234.1831661
ALDOB	149446508.52553034	4026511.41995191	4266912.830293539	12188383.805350708	9782329.70310812	9043332.321959546	4745245.139585102
ALDOC	6326719991.776034	8695394446.814632	8968825005.46879	2311137500.634486	3642846667.4430156	1877283332.541115	8141175001.323782
ALG1	468362499.8531706	463233805.6876923	734814999.8388251	665363749.6164817	147855416.79561654	745995832.8663889	516865000.04277366
ALG10	63457386.62585937	137477694.42656437	158879749.9797038	138187499.81539822	40150999.48572876	95090750.00990224	141450078.3063093
ALG10B	63457386.62585937	137477694.42656437	158879749.9797038	138187499.81539822	40150999.48572876	95090750.00990224	141450078.3063093
ALG11	118242480.43923305	205158138.70600635	213560624.7917197	411328749.8173842	186520682.46537673	300610000.06664586	275004500.1408251
ALG12	88268728.6386063	247298583.31597316	278161062.74830127	127168624.96609846	155134282.4284505	188350000.00250065	321350125.15795666
ALG13	128452858.87484883	89896502.12168822	50599532.327476345	105334315.37454261	35046430.4773693	115647333.34302495	85861489.61970092
ALG2	507199999.83476377	840518333.5589089	1035681874.3281852	2656372501.665972	795389166.3817936	910884166.5404528	1174439999.7801733
ALG3	37882666.96140116	12717520.08572419	12910332.91862789	20819243.35409106	21516424.16302024	12971080.364346007	23268423.819914375
ALG5	336642500.22748995	489239166.87864906	545078750.3835194	959536249.4180143	540425832.9573079	684140000.0834047	727903750.5008156
ALG6	158447631.21988174	138455997.4776504	162970999.93816486	288258375.0023861	127875719.86394809	164260330.095	284628500.1968718
ALG8	129663316.11587793	335549194.573156	404316875.1256889	353722500.5261484	191917416.5064765	366846666.76583534	304463750.5352832
ALG9	38684959.36643347	73309442.15153527	74447578.81121911	160686624.886672	110708272.04179025	87666083.31518288	72358499.9346143
ALKBH1	19297528.83802277	11676117.064433608	20507081.91423128	31782525.240512542	5691088.17425054	24192033.700581152	26259879.0783417
ALKBH2	24993371.53789423	12680205.457401602	29008121.512898576	7567673.946552267	5537685.974767524	12610657.886060484	14360786.752144491
ALKBH3	10401586.387967326	18523809.58876732	21457606.697908737	15950101.451384649	24981536.07102205	14499825.716678992	21024900.176661447
ALKBH4	95521499.98122944	57338643.672460556	67885555.59567213	80579499.83888395	82021859.13852195	32080522.10950628	126941750.15643007
ALKBH5	549119249.6815103	677374722.2255741	702030000.7926341	345978750.0721308	417660916.8655241	150894750.1991829	374473750.38137865
ALKBH7	9487316.644431029	6592087.386146608	12987351.568324542	9071058.962375432	6430900.393384982	16138610.45320346	8211939.515950891
ALKBH8	19911162.339885052	68207786.21449071	91390499.9870614	42143847.387620375	85642957.64198418	115515632.53425328	44362774.443609156
ALMS1	160215222.59911117	155821530.89443177	228248937.63014427	179901632.60479146	265558416.42418584	131412684.0841555	112196917.1315385
ALOX12	3152177.88955081	4709799.179581503	4905124.842683602	26124853.315292902	4097363.3862118158	143320802.103729	3271790.716989148
ALOX12B	347903568.46684957	135557538.95067218	172182911.26271898	154106031.9646734	83853647.28687267	210129666.43751025	96391423.46540721
ALOX15	1942537.0300834393	2052990.286361847	3148818.6306603765	1237780.9213613006	40967581285.398994	1768127.4180507034	5944645.750502581
ALOX15B	379060825.93756413	52990819.90657827	24602479.873531573	11816683.579870977	5238412.567334728	110326680.76530182	51867797.64218329
ALOX5	10347060635.783384	12643170.035981884	7366785.622083265	1824512102.4895413	22742166666.624386	8988574998.691431	16121475.016573839
ALOX5AP	4800128336.504731	4731472220.762966	5308158121.740912	8050211243.185378	25716724976.28706	2736724166.0623474	3956233627.2014246
ALPL	87318796.72696625	9264949.385277737	16942404.72117716	4382612.13016293	928899926.7673146	12961630.702452801	10140629.24673214
ALS2	20743021.033517826	4713765.754905305	8978436.818683991	6303464.467388421	655612750.847385	42580709.59822147	3711740.49112187
ALYREF	294137771.6050181	271635455.2504418	217522811.94043407	219689009.8286801	200819063.55614516	174790962.2377937	214683811.41231644
AMACR	33354150.74461114	42570077.12110521	40394596.60693865	106644999.9953304	13262479.643973231	51841984.68709582	52831838.90854538
AMBP	156649518.9257212	4527279142.866377	1079002499.5218315	2616653751.4263134	2030457785.084926	1429667500.6765795	405649745.85500556
AMBRA1	28254443.61079894	19867480.90706315	20829825.681673568	42981375.0333239	22694322.501374956	19546764.252412662	28600730.330182884
